Timestamp,Ticker,Action,Quantity,Price,Virtual_Balance,PnL,Strategy
2026-08-05 17:14:07,AAPL,BUY,0.32,311.00,10000.00,0.00,MANUAL_SMA_RSI
2026-08-05 17:14:24,AAPL,BUY,0.32,311.00,10000.00,0.00,MANUAL_SMA_RSI
